PWSID,Supply Name,Status Explanation,Status Short
MI0007099,VILLAGE AT EAGLE GARDENS," Inventory completed, no lead lines identified ",
MI0004020,MANCHESTER,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0001690,"CROSWELL, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000150,"ALMONT, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006875,"WALLED LAKE, CITY OF"," Inventory completed, no lead lines identified ",
MI0006880,WALLOON LAKE WATER SYSTEM," Inventory completed, no lead lines identified ",
MI0006575,SUGARTREE APARTMENTS," Inventory completed, no lead lines identified ",
MI0002180,"ESSEXVILLE, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005210,PAW PAW,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040330,WASHINGTON MHP," Inventory completed, no lead lines identified ",
MI0006905,WASHINGTON TOWNSHIP," Inventory completed, no lead lines identified ",
MI0007270,ZEELAND BOARD OF PUBLIC WORKS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040673,WATERS EDGE MH COMMUNITY," Inventory completed, no lead lines identified ",
MI0004700,"NEW LOTHROP, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006910,WATERFORD TOWNSHIP,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005420,PLYMOUTH TOWNSHIP,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0060792,VILLA AT GREEN LAKE ESTATES," Inventory completed, no lead lines identified ",
MI0006960,WEBBER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001950,"EASTPOINTE, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006971,WEDGEWOOD GOLFSIDE CONDO ASSOC," Inventory completed, no lead lines identified ",
MI0040293,WELLERS TRAILER PARK," Inventory completed, no lead lines identified ",
MI0002770,"GRAND LEDGE, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007012,WEST BRANCH TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000730,BIRMINGHAM,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040256,SUGARLOAF MOBILE HOME PARK,Inventory not received or data not complete,Inventory not received or incomplete
MI0040614,WEST OLIVE ESTATES," Inventory completed, no lead lines identified ",
MI0005606,WEST PARK APARTMENTS," Inventory completed, no lead lines identified ",
MI0040650,WEST PINE ISLAND," Inventory completed, no lead lines identified ",
MI0007057,WEST TRAVERSE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0007035,WESTBROOK APARTMENTS," Inventory completed, no lead lines identified ",
MI0062841,MEDILODGE OF STERLING,Inventory not received or data not complete,Inventory not received or incomplete
MI0067020,WEST HICKORY HAVEN,Inventory not received or data not complete,Inventory not received or incomplete
MI0000710,BIG RAPIDS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007050,"WESTPHALIA, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0040435,WHISPERING OAKS MHP," Inventory completed, no lead lines identified ",
MI0040576,WHISPERING PINES," Inventory completed, no lead lines identified ",
MI0040500,WHISPERING PINES ESTATES," Inventory completed, no lead lines identified ",
MI0000575,WHISPERING PINES SENIOR LIVING," Inventory completed, no lead lines identified ",
MI0040561,WHITE BIRCH ESTATES," Inventory completed, no lead lines identified ",
MI0040516,WHITE BIRCH MOBILE HOME VILLAGE," Inventory completed, no lead lines identified ",
MI0005320,"PIGEON, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040294,WHITE CREEK COUNTRY ESTATES," Inventory completed, no lead lines identified ",
MI0007062,WHITE DEER VILLAGE," Inventory completed, no lead lines identified ",
MI0007061,WHITE EAGLE SUBDIVISION," Inventory completed, no lead lines identified ",
MI0007064,WHITE LAKE ASSISTED LIVING CENTER," Inventory completed, no lead lines identified ",
MI0006885,WALNUT LANE APARTMENTS," Inventory completed, no lead lines identified ",
MI0007067,WHITE OAKS CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0005720,ROCHESTER,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040105,WHITE PINES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0007063,WHITEFORD TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005100,"OVID, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007101,WHITMORE LAKE APARTMENTS," Inventory completed, no lead lines identified ",
MI0007104,WHITTEMORE SQUARE APARTMENTS," Inventory completed, no lead lines identified ",
MI0003390,IRA TOWNSHIP,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007125,WILLIAMS TOWNSHIP," Inventory completed, no lead lines identified ",
MI0007120,"WILLIAMSTON, CITY OF",100% replaced,100% replaced
MI0004754,WESTERN PINES APARTMENTS,Inventory not received or data not complete,Inventory not received or incomplete
MI0001658,WILLOWS ON TWIN PONDS," Inventory completed, no lead lines identified ",
MI0007126,WINDJAMMER COVE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040203,WINDMILL PARK," Inventory completed, no lead lines identified ",
MI0040124,WINDSOR ESTATES," Inventory completed, no lead lines identified ",
MI0007010,"WEST BRANCH, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007134,WISNER AREA WATER SYSTEM," Inventory completed, no lead lines identified ",
MI0004620,NASHVILLE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040501,WOLF LAKE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040480,WOOD VALLEY," Inventory completed, no lead lines identified ",
MI0002125,EMMETT TOWNSHIP,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007180,WOODHAVEN," Inventory completed, no lead lines identified ",
MI0006820,WOODLAND CENTER CORRECTIONAL FACILITY," Inventory completed, no lead lines identified ",
MI0040296,WOODLAND ESTATES," Inventory completed, no lead lines identified ",
MI0040326,WOODLAND PARK AND SALES," Inventory completed, no lead lines identified ",
MI0007182,WOODLAND PARK APARTMENTS," Inventory completed, no lead lines identified ",
MI0040669,WOODLAND RIDGE," Inventory completed, no lead lines identified ",
MI0040404,WOODLANDS MHC," Inventory completed, no lead lines identified ",
MI0007185,WOODRUFF LAKE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040639,WOODS AND FIELDS COMMUNITIES EAST," Inventory completed, no lead lines identified ",
MI0040455,WOODS AND FIELDS COMMUNITIES WEST," Inventory completed, no lead lines identified ",
MI0007186,WOODS OF LOCHAVEN," Inventory completed, no lead lines identified ",
MI0003856,WORTH TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001610,COOPERSVILLE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007217,WYNSTONE SUBDIVISION," Inventory completed, no lead lines identified ",
MI0007220,WYOMING,100% replaced,100% replaced
MI0006240,SPRINGFIELD,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040585,YANKEE SPRINGS MEADOWS," Inventory completed, no lead lines identified ",
MI0007231,YANKEE SPRINGS TOWNSHIP," Inventory completed, no lead lines identified ",
MI0007235,YODER APARTMENTS," Inventory completed, no lead lines identified ",
MI0007240,YORK CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0004550,MUIR,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003780,"LAPEER, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007280,"ZILWAUKEE, CITY OF"," Inventory completed, no lead lines identified ",
